All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     consensus
# misassemblies              1        
  # contig misassemblies     1        
    # c. relocations         1        
    # c. translocations      0        
    # c. inversions          0        
  # scaffold misassemblies   0        
    # s. relocations         0        
    # s. translocations      0        
    # s. inversions          0        
# misassembled contigs       1        
Misassembled contigs length  16507    
# local misassemblies        1        
# scaffold gap ext. mis.     0        
# scaffold gap loc. mis.     0        
# unaligned mis. contigs     14       
# mismatches                 17522    
# indels                     32960    
    # indels (<= 5 bp)       32727    
    # indels (> 5 bp)        233      
Indels length                45278    
