[03:05:48] config.py (line 371):     INFO: Seed number: 297834
[03:05:48] algorithm.py (line 153):     INFO: SEPP version 4.5.5 used with HMMER version 3.4
[03:05:48] algorithm.py (line 155):     INFO: Will user HMMER located at /usr/local/bin/hmmbuild
[03:05:48] algorithm.py (line 157):     INFO: All options: Namespace(pplacer=Namespace(path='/usr/local/bin/pplacer'), hmmalign=Namespace(path='/usr/local/bin/hmmalign'), hmmsearch=Namespace(path='/usr/local/bin/hmmsearch', piped='False', elim='10000', filters='True'), hmmbuild=Namespace(path='/usr/local/bin/hmmbuild'), jsonmerger=Namespace(path='/usr/local/bin/seppJsonMerger.jar'), exhaustive=Namespace(strategy='centroid', minsubsetsize='20', placementminsubsetsizefacotr='4', placer='pplacer', weight_placement_by_alignment='True'), alignment_size=None, placement_size=None, max_chunk_size=15, distance=1, maxDiam=None, decomp_strategy='normal', tempdir='/data/reports/busco_output/auto_lineage/run_eukaryota_odb12/sepp_tmp_files', remtemp=False, output='output', outdir='/data/reports/busco_output/auto_lineage/run_eukaryota_odb12/placement_files', config_file=None, tree_file=<_io.TextIOWrapper name='/data/busco_downloads/placement_files/tree.eukaryota_odb12.2025-01-15.nwk' mode='r' encoding='UTF-8'>, info_file=<_io.TextIOWrapper name='/data/busco_downloads/placement_files/tree_metadata.eukaryota_odb12.2025-01-15.txt' mode='r' encoding='UTF-8'>, alignment_file=<_io.TextIOWrapper name='/data/busco_downloads/placement_files/supermatrix.aln.eukaryota_odb12.2025-01-15.faa' mode='r' encoding='UTF-8'>, fragment_file=<_io.TextIOWrapper name='reports/busco_output/auto_lineage/run_eukaryota_odb12/placement_files/marker_genes.fasta' mode='r' encoding='UTF-8'>, molecule='amino', ignore_overlap=False, cpu=8, checkpoint=<sepp.checkpointing.CheckPointManager object at 0x7ffffde795e0>, checkpoint_interval=3600, seed=297834)
[03:05:48] algorithm.py (line 284):     INFO: Reading input alignment: <_io.TextIOWrapper name='/data/busco_downloads/placement_files/supermatrix.aln.eukaryota_odb12.2025-01-15.faa' mode='r' encoding='UTF-8'>
[03:05:48] algorithm.py (line 288):     INFO: Alignment has 978 sequences and 17989 sites
[03:05:48] algorithm.py (line 293):     INFO: Reading input tree: <_io.TextIOWrapper name='/data/busco_downloads/placement_files/tree.eukaryota_odb12.2025-01-15.nwk' mode='r' encoding='UTF-8'>
[03:05:48] algorithm.py (line 298):     INFO: Tree has 978 leaves
[03:05:48] algorithm.py (line 264):     INFO: Decomposition Sizes are set to alignment: 97 placement: 97
[03:05:48] exhaustive.py (line 352):     INFO: Breaking into 14 placement subsets.
[03:05:48] exhaustive.py (line 399):     INFO: Breaking into 14 alignment subsets.
